province,date,new_cases
Burgas,2020-12-26,15.0
Burgas,2020-12-27,19.0
Burgas,2020-12-28,14.0
Burgas,2020-12-29,6.0
Burgas,2020-12-30,81.0
Burgas,2020-12-31,72.0
Burgas,2021-01-01,81.0
Burgas,2021-01-02,35.0
Burgas,2021-01-03,9.0
Burgas,2021-01-04,4.0
Burgas,2021-01-05,39.0
Burgas,2021-01-06,173.0
Burgas,2021-01-07,31.0
Burgas,2021-01-08,107.0
Burgas,2021-01-09,37.0
Burgas,2021-01-10,55.0
Burgas,2021-01-11,7.0
Burgas,2021-01-12,9.0
Burgas,2021-01-13,65.0
Burgas,2021-01-14,23.0
Burgas,2021-01-15,43.0
Burgas,2021-01-16,84.0
Burgas,2021-01-17,14.0
Burgas,2021-01-18,1.0
Burgas,2021-01-19,15.0
Burgas,2021-01-20,77.0
Burgas,2021-01-21,15.0
Burgas,2021-01-22,44.0
Burgas,2021-01-23,35.0
Burgas,2021-01-24,36.0
Burgas,2021-01-25,13.0
Burgas,2021-01-26,43.0
Burgas,2021-01-27,59.0
Burgas,2021-01-28,42.0
Burgas,2021-01-29,32.0
Burgas,2021-01-30,48.0
Burgas,2021-01-31,43.0
Burgas,2021-02-01,14.0
Burgas,2021-02-02,85.0
Burgas,2021-02-03,75.0
Burgas,2021-02-04,77.0
Burgas,2021-02-05,63.0
Burgas,2021-02-06,113.0
Burgas,2021-02-07,67.0
Burgas,2021-02-08,1.0
Burgas,2021-02-09,129.0
Burgas,2021-02-10,105.0
Burgas,2021-02-11,24.0
Burgas,2021-02-12,110.0
Burgas,2021-02-13,85.0
Burgas,2021-02-14,57.0
Burgas,2021-02-15,23.0
Burgas,2021-02-16,37.0
Burgas,2021-02-17,158.0
Burgas,2021-02-18,137.0
Burgas,2021-02-19,48.0
Burgas,2021-02-20,191.0
Burgas,2021-02-21,29.0
Burgas,2021-02-22,34.0
Burgas,2021-02-23,182.0
Burgas,2021-02-24,154.0
Burgas,2021-02-25,94.0
Burgas,2021-02-26,194.0
Burgas,2021-02-27,53.0
Burgas,2021-02-28,148.0
Burgas,2021-03-01,36.0
Burgas,2021-03-02,274.0
Burgas,2021-03-03,63.0
Burgas,2021-03-04,190.0
Burgas,2021-03-05,54.0
Burgas,2021-03-06,428.0
Burgas,2021-03-07,127.0
Burgas,2021-03-08,15.0
Burgas,2021-03-09,227.0
Burgas,2021-03-10,441.0
Burgas,2021-03-11,111.0
Burgas,2021-03-12,285.0
Burgas,2021-03-13,294.0
Burgas,2021-03-14,223.0
Burgas,2021-03-15,56.0
Burgas,2021-03-16,449.0
Burgas,2021-03-17,316.0
Burgas,2021-03-18,291.0
Burgas,2021-03-19,329.0
Burgas,2021-03-20,331.0
Burgas,2021-03-21,305.0
Burgas,2021-03-22,116.0
Burgas,2021-03-23,98.0
Burgas,2021-03-24,496.0
Burgas,2021-03-25,364.0
Burgas,2021-03-26,321.0
Burgas,2021-03-27,269.0
Burgas,2021-03-28,294.0
Burgas,2021-03-29,89.0
Burgas,2021-03-30,107.0
Burgas,2021-03-31,417.0
Burgas,2021-04-01,235.0
Burgas,2021-04-02,251.0
Burgas,2021-04-03,260.0
Burgas,2021-04-04,256.0
Burgas,2021-04-05,67.0
Burgas,2021-04-06,86.0
Burgas,2021-04-07,330.0
Burgas,2021-04-08,227.0
Burgas,2021-04-09,177.0
Burgas,2021-04-10,155.0
Burgas,2021-04-11,127.0
Burgas,2021-04-12,13.0
Burgas,2021-04-13,92.0
Burgas,2021-04-14,253.0
Burgas,2021-04-15,161.0
Burgas,2021-04-16,125.0
Burgas,2021-04-17,100.0
Burgas,2021-04-18,108.0
Burgas,2021-04-19,26.0
Burgas,2021-04-20,37.0
Burgas,2021-04-21,183.0
Burgas,2021-04-22,123.0
Burgas,2021-04-23,90.0
Burgas,2021-04-24,92.0
Burgas,2021-04-25,97.0
Burgas,2021-04-26,25.0
Burgas,2021-04-27,25.0
Burgas,2021-04-28,153.0
Burgas,2021-04-29,80.0
Burgas,2021-04-30,82.0
Burgas,2021-05-01,57.0
Burgas,2021-05-02,15.0
Burgas,2021-05-03,27.0
Burgas,2021-05-04,43.0
Burgas,2021-05-05,34.0
Burgas,2021-05-06,50.0
Burgas,2021-05-07,86.0
Burgas,2021-05-08,24.0
Burgas,2021-05-09,45.0
Burgas,2021-05-10,16.0
Burgas,2021-05-11,13.0
Burgas,2021-05-12,66.0
Burgas,2021-05-13,38.0
Burgas,2021-05-14,20.0
Burgas,2021-05-15,29.0
Burgas,2021-05-16,10.0
Burgas,2021-05-17,29.0
Burgas,2021-05-18,13.0
Burgas,2021-05-19,23.0
